,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,info2String,info6String,streetViewMetadataURL,streetViewURL,isPropertyResultCDP,builderName,lotAreaString,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
361,13313366,https://www.zillow.com/homedetails/4820-W-Moncrieff-Pl-Denver-CO-80212/13313366_zpid/,"$2,295,000","4820 W Moncrieff Place, Denver, CO 80212",4820 W Moncrieff Place,Denver,CO,80212,2278000,,,,,,,,,,,,,,,,,,,,,
362,13418836,https://www.zillow.com/homedetails/8060-E-Girard-Ave-APT-701-Denver-CO-80231/13418836_zpid/,"$255,000","8060 E Girard Ave UNIT 701, Denver, CO 80231",8060 E Girard Ave UNIT 701,Denver,CO,80231,251094,Listing provided by IRES,Terri Gray,,,,,,,,,,,,,,,,,,,
363,247389057,https://www.zillow.com/homedetails/6081-N-Chester-St-Denver-CO-80238/247389057_zpid/,"$1,400,000","6081 N Chester Street, Denver, CO 80238",6081 N Chester Street,Denver,CO,80238,1391277,,,,,,,,,,,,,,,,,,,,,
364,68050528,https://www.zillow.com/homedetails/2942-Akron-Ct-Denver-CO-80238/68050528_zpid/,"$765,000","2942 Akron Court, Denver, CO 80238",2942 Akron Court,Denver,CO,80238,759300,,,,,,,,,,,,,,,,,,,,,
365,13392070,https://www.zillow.com/homedetails/1471-Fairfax-St-Denver-CO-80220/13392070_zpid/,"$699,900","1471 Fairfax Street, Denver, CO 80220",1471 Fairfax Street,Denver,CO,80220,694900,,,,,,,,,,,,,,,,,,,,,
366,13282105,https://www.zillow.com/homedetails/2911-Niagara-St-Denver-CO-80207/13282105_zpid/,"$574,899","2911 Niagara Street, Denver, CO 80207",2911 Niagara Street,Denver,CO,80207,565500,,,,,,,,,,,,,,,,,,,,,
367,72123025,https://www.zillow.com/homedetails/2722-Fulton-St-Denver-CO-80238/72123025_zpid/,"$799,000","2722 Fulton Street, Denver, CO 80238",2722 Fulton Street,Denver,CO,80238,788275,,,,,,,,,,,,,,,,,,,,,
368,13366565,https://www.zillow.com/homedetails/1554-S-Clay-St-Denver-CO-80219/13366565_zpid/,"$380,000","1554 S Clay Street, Denver, CO 80219",1554 S Clay Street,Denver,CO,80219,373600,,,,,,,,,,,,,,,,,,,,,
369,337663966,https://www.zillow.com/homedetails/6634-N-Ceylon-St-Denver-CO-80249/337663966_zpid/,"$530,000","6634 N Ceylon Street, Denver, CO 80249",6634 N Ceylon Street,Denver,CO,80249,523536,,,,,,,,,,,,,,,,,,,,,
370,119692632,https://www.zillow.com/homedetails/34-S-Logan-St-Denver-CO-80209/119692632_zpid/,"$850,000","34 S Logan Street, Denver, CO 80209",34 S Logan Street,Denver,CO,80209,841282,,,,,,,,,,,,,,,,,,,,,
371,13347671,https://www.zillow.com/homedetails/1687-E-Cedar-Ave-Denver-CO-80209/13347671_zpid/,"$4,100,000","1687 E Cedar Avenue, Denver, CO 80209",1687 E Cedar Avenue,Denver,CO,80209,4020300,,,,,,,,,,,,,,,,,,,,,
372,13337449,https://www.zillow.com/homedetails/660-N-Meade-St-Denver-CO-80204/13337449_zpid/,"$449,000","660 N Meade Street, Denver, CO 80204",660 N Meade Street,Denver,CO,80204,441389,,,,,,,,,,,,,,,,,,,,,
373,13286966,https://www.zillow.com/homedetails/1629-Filbert-Ct-Denver-CO-80220/13286966_zpid/,"$1,400,000","1629 Filbert Court, Denver, CO 80220",1629 Filbert Court,Denver,CO,80220,1379928,,,,,,,,,,,,,,,,,,,,,
374,2060843686,https://www.zillow.com/homedetails/6357-N-Dayton-St-Denver-CO-80238/2060843686_zpid/,"$1,550,000","6357 N Dayton Way, Denver, CO 80238",6357 N Dayton Way,Denver,CO,80238,,,,,,,,,,,,,,,,,,,,,,
375,13428546,https://www.zillow.com/homedetails/4625-W-Temple-Pl-Denver-CO-80236/13428546_zpid/,"$795,000","4625 W Temple Place, Denver, CO 80236",4625 W Temple Place,Denver,CO,80236,779808,,,,,,,,,,,,,,,,,,,,,
376,13297004,https://www.zillow.com/homedetails/4661-Federal-Blvd-Denver-CO-80211/13297004_zpid/,"$675,000","4661 Federal Boulevard, Denver, CO 80211",4661 Federal Boulevard,Denver,CO,80211,654545,,,,,,,,,,,,,,,,,,,,,
